Name,Address,Latitude,Longitude,Category,Wardname,Ownership,LGAname,Wardcode,Func_Stats,Source,Alt_Name
Jamtari Health Post,"Jada, Adamawa, Nigeria",8.682495117,12.090271,Dispensary,Jada 1,State Primary Healthcare Development Agency,Jada,ADSJAD02,Functional,eHA Polio,
Jarandi Health Post,"Jada, Adamawa, Nigeria",8.665710449,12.30548096,Dispensary,Leko,State Primary Healthcare Development Agency,Jada,ADSJAD06,Unknown,eHA Polio,
Jauro Bellel Health Post,"Jauro Bellel Health Post, Ganye - Jimeta Federal Road, Jada, Adamawa, Nigeria",8.617919922,12.40551758,Dispensary,Yeli,State Primary Healthcare Development Agency,Jada,ADSJAD11,Unknown,eHA Polio,
Jilima Health Post,"Fufore, Adamawa, Nigeria",9.02127,12.07798,Dispensary,Mayo Inne,State Primary Healthcare Development Agency,Fufore,ADSFUR06,Functional,eHA Polio,
Jimbo Health Post,"Song, Adamawa, Nigeria",9.71063,12.37728,Dispensary,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Functional,eHA Polio,
Kadarbu Primary Health Clinic,"Kadarbu Primary Health Clinic, Fufore, Adamawa, Nigeria",9.511291504,12.7020874,Primary Health Center,Pariya,State Primary Healthcare Development Agency,Fufore,ADSFUR07,Functional,eHA Polio,Kadarbu Health Clinic
Kagunhim Health Post,"Wuro Yaji, Gombi, Adamawa, Nigeria",10.09869385,12.63391113,Dispensary,Tawa,State Primary Healthcare Development Agency,Gombi,ADSGMB09,Unknown,eHA Polio,
Kazhewe Health Post,"Kali, Michika, Adamawa, Nigeria",10.48923,13.3974,Dispensary,Zah,State Primary Healthcare Development Agency,Michika,ADSMCH16,Functional,eHA Polio,
Kelle Health Post,"Leprosy Village, Michika, Adamawa, Nigeria",10.66467285,13.37127686,Dispensary,Tumbara / Ngabili,State Primary Healthcare Development Agency,Michika,ADSMCH13,Functional,eHA Polio,Kelle
Kiro Health Post,"Gombi, Adamawa, Nigeria",10.05108643,12.28210449,Dispensary,Duwa,State Primary Healthcare Development Agency,Gombi,ADSGMB02,Unknown,eHA Polio,
Koiwa Health Post,"Laro, Maiha, Adamawa, Nigeria",9.932678223,13.17669678,Dispensary,Sorau A,State Primary Healthcare Development Agency,Maiha,ADSMAH08,Unknown,eHA Polio,
Koma 1 Health Post,"Jada, Adamawa, Nigeria",8.795104981,12.59448242,Dispensary,Koma 1,State Primary Healthcare Development Agency,Jada,ADSJAD04,Unknown,eHA Polio,
Komsiri Health Post,"Lala, Jada, Adamawa, Nigeria",8.722473145,12.0557251,Dispensary,Mbullo,State Primary Healthcare Development Agency,Jada,ADSJAD09,Unknown,eHA Polio,
Kpogno Health Post,"Pongno, Demsa, Adamawa, Nigeria",9.64057,12.23849,Dispensary,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Unknown,eHA Polio,
Kudori Health Post,"Ganye, Adamawa, Nigeria",8.242492676,11.96209717,Dispensary,Kiri 2,State Primary Healthcare Development Agency,Toungo,ADSTNG05,Unknown,eHA Polio,Health Post Kudori
Kunliro Health Post,"Gergbakai, Demsa, Adamawa, Nigeria",9.459472656,12.19873047,Dispensary,Demsa,State Primary Healthcare Development Agency,Demsa,ADSDSA03,Unknown,eHA Polio,
Kurang Health Post,"kurang heath post, Madagali, Adamawa, Nigeria",10.71266558,13.59286445,Dispensary,Pallam,State Primary Healthcare Development Agency,Madagali,ADSMDG07,Unknown,eHA Polio,
Kwahuba Health Post,"Guyuk, Adamawa, Nigeria",9.80058,11.86162,Dispensary,Chikila,State Primary Healthcare Development Agency,Guyuk,ADSGUY04,Unknown,eHA Polio,
Kwale Health Post,"kwale health post, A345, Farei, Demsa, Adamawa, Nigeria",9.484680176,12.12207031,Dispensary,Dwam,State Primary Healthcare Development Agency,Demsa,ADSDSA06,Functional,eHA Polio,
Kwanan Waya Namtari Primary Health Center,"Wuro Malam Musa, Demsa, Adamawa, Nigeria",9.298706055,12.13592529,Primary Health Center,Yolde Kohi,State Primary Healthcare Development Agency,Yola South,ADSYLA11,Functional,eHA Polio,
Kwapukai Health Clinic,"Numan, Adamawa, Nigeria",9.50058,11.86162,Primary Health Center,Kodomti,State Primary Healthcare Development Agency,Numan,ADSNUM05,Functional,eHA Polio,
Kworongoshe Dispensary,"Gombi, Adamawa, Nigeria",10.16467285,12.2822876,Dispensary,Boga,State Primary Healthcare Development Agency,Gombi,ADSGMB01,Unknown,eHA Polio,
Laide Chitta Health Post,"Teungo, Adamawa, Nigeria",8.11788,12.09881,Dispensary,Toungo 2,State Primary Healthcare Development Agency,Toungo,ADSTNG09,Unknown,eHA Polio,
Lamurde Health Post,"Song, Adamawa, Nigeria",9.81498,12.89086,Dispensary,Zumo,State Primary Healthcare Development Agency,Song,ADSSNG11,Unknown,eHA Polio,
Lawan Dakka Health Post,"Jauro Yaji, Teungo, Adamawa, Nigeria",8.190124512,12.04089356,Dispensary,Toungo 3,State Primary Healthcare Development Agency,Toungo,ADSTNG10,Functional,eHA Polio,
Lccn Dispensary,"Gombi, Adamawa, Nigeria",10.15130615,12.43310547,Dispensary,Gaanda,State Primary Healthcare Development Agency,Gombi,ADSGMB03,Functional,eHA Polio,
Leme Health Post,"Shelleng, Adamawa, Nigeria",9.98449707,12.21051025,Dispensary,Duwa,State Primary Healthcare Development Agency,Gombi,ADSGMB02,Unknown,eHA Polio,Leme Health Clinic
Lobati Health Post,"Lobati Health Post, Larmurde, Adamawa, Nigeria",9.597106934,11.49047852,Dispensary,Suwa,State Primary Healthcare Development Agency,Lamurde,ADSLMR09,Unknown,eHA Polio,
Lupanga Health Post,"Demsa, Adamawa, Nigeria",9.286682129,11.99188232,Dispensary,Nassarawo Demsa,State Primary Healthcare Development Agency,Demsa,ADSDSA10,Unknown,eHA Polio,
Maitunku Health Post,"Larmurde, Adamawa, Nigeria",9.603881836,11.51971436,Dispensary,Suwa,State Primary Healthcare Development Agency,Lamurde,ADSLMR09,Unknown,eHA Polio,
Malagancha Health Post,"Badi, Mubi South, Adamawa, Nigeria",10.07568359,13.28808594,Dispensary,Nduku,State Primary Healthcare Development Agency,Mubi South,ADSGYL10,Unknown,eHA Polio,
Malangasha Health Post,"Lamurde Wamngo, Mubi South, Adamawa, Nigeria",10.23402,13.26707,Dispensary,Lamurde,State Primary Healthcare Development Agency,Mubi South,ADSGYL06,Unknown,eHA Polio,
Mampe Health Post,"Manpi, Michika, Adamawa, Nigeria",10.48377,13.3758,Dispensary,Zah,State Primary Healthcare Development Agency,Michika,ADSMCH16,Functional,eHA Polio,
Manji Memorial Dispensary,"A13, Jidil, Michika, Adamawa, Nigeria",10.57751465,13.33691406,Dispensary,Jigalambu,State Primary Healthcare Development Agency,Michika,ADSMCH04,Functional,eHA Polio,
Market Health Post,"Song, Adamawa, Nigeria",9.82668,12.6187,Dispensary,Song Gari,State Primary Healthcare Development Agency,Song,ADSSNG07,Unknown,eHA Polio,
Wagga Maternity,"A13, Hambagda, Gwoza, Madagali, Adamawa, Nigeria",10.92992,13.65043,Maternity Home,Waga-Chakawa,State Primary Healthcare Development Agency,Madagali,ADSMDG09,Unknown,eHA Polio,
Mayo Inne Health Post,"Mayo Inne Health Post, Jada, Adamawa, Nigeria",8.715515137,12.27050781,Dispensary,Yeli,State Primary Healthcare Development Agency,Jada,ADSJAD11,Functional,eHA Polio,
Mbai Health Post,"Song, Adamawa, Nigeria",9.61792,12.43757,Dispensary,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Functional,eHA Polio,
Mbalyebbe Town Health Post,"Song, Adamawa, Nigeria",9.82376,12.62708,Dispensary,Song Gari,State Primary Healthcare Development Agency,Song,ADSSNG07,Unknown,eHA Polio,
Meltara Health Post,"Sangere Sani, Demsa, Adamawa, Nigeria",9.339111328,12.10028076,Dispensary,Yolde Kohi,State Primary Healthcare Development Agency,Yola South,ADSYLA11,Unknown,eHA Polio,
Modire Health Post,"Jimeta, Girei, Adamawa, 640221, Nigeria",9.29048,12.50948,Dispensary,Modire,State Primary Healthcare Development Agency,Girei,ADSGRE08,Functional,eHA Polio,
Mothol Health Post,"Dingel, Gombi, Adamawa, Nigeria",10.13415,12.29316,Dispensary,Boga,State Primary Healthcare Development Agency,Gombi,ADSGMB01,Unknown,eHA Polio,
Muchalla Health Post,"Mizza, Mubi North, Adamawa, Nigeria",10.41967773,13.39831543,Dispensary,Mijilu,State Primary Healthcare Development Agency,Mubi North,ADSMUB07,Functional,eHA Polio,
Mudungo Health Post,"Wuro Koncha, Song, Adamawa, Nigeria",9.814086914,12.67370605,Dispensary,Song Waje,State Primary Healthcare Development Agency,Song,ADSSNG08,Unknown,eHA Polio,Health Post Muduwar
Mullah Health Post,"Hong, Adamawa, Nigeria",10.14498,13.07275,Dispensary,Hoserezum,State Primary Healthcare Development Agency,Hong,ADSHNG07,Functional,eHA Polio,
Musda Health Post,"Mijili, Hong, Adamawa, Nigeria",10.38448,12.9188,Dispensary,Gaya-Sikalmi,State Primary Healthcare Development Agency,Hong,ADSHNG04,Functional,eHA Polio,
Nadere Health Post,"Nadare Sarkin Yaki, Hong, Adamawa, Nigeria",10.16588,13.11083,Dispensary,Hoserezum,State Primary Healthcare Development Agency,Hong,ADSHNG07,Functional,eHA Polio,
Namtari Gure Health Post,"Namtari Manga, Yola North, Adamawa, Nigeria",9.286499024,12.29449463,Dispensary,Namtari,State Primary Healthcare Development Agency,Yola South,ADSYLA08,Unknown,eHA Polio,Namtari Manga
Nawai Health Post,"Teungo, Adamawa, Nigeria",8.151916504,12.05389404,Dispensary,Toungo 3,State Primary Healthcare Development Agency,Toungo,ADSTNG10,Functional,eHA Polio,
Ndakere Dispensary,"Yola, Yola North, Adamawa, Nigeria",9.14206,12.48419,Dispensary,Bole Yolde Pate,State Primary Healthcare Development Agency,Yola South,ADSYLA03,Unknown,eHA Polio,
Ndalmi Health Post,"ndalmi heath post, Madagali, Adamawa, Nigeria",10.76551,13.5353,Dispensary,Sukur,State Primary Healthcare Development Agency,Madagali,ADSMDG08,Functional,eHA Polio,
Ngurore Gantum Health Post,"Ngurore Gantum Health Post, Ganye, Adamawa, Nigeria",8.331115722,12.22668457,Dispensary,Sugu,State Primary Healthcare Development Agency,Ganye,ADSGAN08,Functional,eHA Polio,Ngurore Gangtum Health Post
Gwerigwa,"Ngurore Health Post, Ganye - Jimeta Federal Road, Fufore, Adamawa, Nigeria",8.97714,12.61712,Dispensary,Karlahi,State Primary Healthcare Development Agency,Fufore,ADSFUR05,Unknown,eHA Polio,
Noine Health Post,"Girei, Adamawa, Nigeria",9.471280012,12.39202345,Dispensary,Gereng,State Primary Healthcare Development Agency,Girei,ADSGRE03,Unknown,eHA Polio,
Nyibango Health Post,"Nyibango Health Post, Fufore, Adamawa, Nigeria",9.005310059,12.33850098,Dispensary,Yadim,State Primary Healthcare Development Agency,Fufore,ADSFUR11,Functional,eHA Polio,Health Post Nyibango
Ogburi Health Post,"Fufore, Adamawa, Nigeria",8.799682617,12.42047119,Dispensary,Yadim,State Primary Healthcare Development Agency,Fufore,ADSFUR11,Functional,eHA Polio,Health Clinic Ogburi
Pilefu Health Post,"A13, Marraraba, Hong, Adamawa, Nigeria",10.30117,13.11841,Dispensary,Mayo Lope,State Primary Healthcare Development Agency,Hong,ADSHNG09,Unknown,eHA Polio,
Pola Dispensary,"Mbulo primary heath center, Ganye, Adamawa, Nigeria",8.654724122,11.90167236,Dispensary,Mbullo,State Primary Healthcare Development Agency,Jada,ADSJAD09,Unknown,eHA Polio,
Prambe Maternity,"Yola North, Adamawa, Nigeria",9.32362,12.21534,Maternity Home,Yolde Kohi,State Primary Healthcare Development Agency,Yola South,ADSYLA11,Unknown,eHA Polio,
Pullum Health Post,"Numan, Adamawa, Nigeria",9.44875,11.90248,Dispensary,Kodomti,State Primary Healthcare Development Agency,Numan,ADSNUM05,Unknown,eHA Polio,
Ramadan Dispensary,"Mubi, Mubi North, Adamawa, Nigeria",10.26672363,13.2678833,Dispensary,Sabon Layi,State Primary Healthcare Development Agency,Mubi North,ADSMUB09,Functional,eHA Polio,
Riwiriwi Health Post,"Shellem, Shelleng, Adamawa, Nigeria",9.91685,12.06867,Dispensary,Bodwai,State Primary Healthcare Development Agency,Shelleng,ADSSHG02,Unknown,eHA Polio,
Roma Maternity,"Song, Adamawa, Nigeria",9.70321,12.44185,Maternity Home,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Unknown,eHA Polio,
Rugange Health Post,"Jimeta, Girei, Adamawa, Nigeria",9.22748,12.51285,Dispensary,Mbamba,State Primary Healthcare Development Agency,Yola South,ADSYLA06,Unknown,eHA Polio,
Rumde Giwa Health Post,"Rumde Giwa Health Post, Fufore, Adamawa, Nigeria",8.97987,12.22457,Dispensary,Mayo Inne,State Primary Healthcare Development Agency,Fufore,ADSFUR06,Unknown,eHA Polio,
Nongvan Health Clinic,"Gurumpawa, Ganye, Adamawa, Nigeria",8.45765,11.93793,Primary Health Center,Gurumpawo,Others,Ganye,ADSGAN05,Unknown,OSGOF,
Rumde Mallum Health Post,"Wuro Talla, Yola North, Adamawa, Nigeria",9.333496094,12.27307129,Dispensary,Ngurore,State Primary Healthcare Development Agency,Yola South,ADSYLA09,Unknown,eHA Polio,
Sabon Pegi Health Post,"Wuro Waziri Gadawa, Numan, Adamawa, Nigeria",9.543701172,12.02087402,Dispensary,Bare,State Primary Healthcare Development Agency,Numan,ADSNUM01,Functional,eHA Polio,
Safatawa Health Post,"Fufore, Adamawa, Nigeria",9.028686523,12.394104,Dispensary,Yadim,State Primary Healthcare Development Agency,Fufore,ADSFUR11,Functional,eHA Polio,
Samomaka Health Post,"Wauro Leggal, Yola South, Adamawa, Nigeria",9.273925781,12.37469483,Dispensary,Namtari,State Primary Healthcare Development Agency,Yola South,ADSYLA08,Unknown,eHA Polio,
Sanvam Health Post,"Sanvam Health Post, Ganye, Adamawa, Nigeria",8.402709961,11.9899292,Dispensary,Gurumpawo,State Primary Healthcare Development Agency,Ganye,ADSGAN05,Unknown,eHA Polio,
Sebone Health Post,"Buka, Mubi South, Adamawa, Nigeria",10.25342,13.28035,Dispensary,Nassarawo,State Primary Healthcare Development Agency,Mubi South,ADSGYL09,Unknown,eHA Polio,
Sebore Dispensary,"Yola, Yola North, Adamawa, Nigeria",9.12302,12.57515,Dispensary,Mbamba,State Primary Healthcare Development Agency,Yola South,ADSYLA06,Unknown,eHA Polio,
Senior Camp Health Post,"Kiri, Guyuk, Adamawa, Nigeria",9.672729492,12.01568604,Dispensary,Kiri,State Primary Healthcare Development Agency,Shelleng,ADSSHG07,Unknown,eHA Polio,Senlo Cam Health Center
Shiwa Health Post,"Hong, Adamawa, Nigeria",10.21736,13.03301,Dispensary,Hoserezum,State Primary Healthcare Development Agency,Hong,ADSHNG07,Functional,eHA Polio,
Sili Tudu Health Post,"Guyuk, Adamawa, Nigeria",9.77247,11.87189,Dispensary,Chikila,State Primary Healthcare Development Agency,Guyuk,ADSGUY04,Functional,eHA Polio,
Simra Dispensary,"Song, Adamawa, Nigeria",9.83881,12.41452,Dispensary,Dumne,State Primary Healthcare Development Agency,Song,ADSSNG02,Functional,eHA Polio,
Sisikina Primary Health Center,"Sisikina Primary Health Center, Guyuk, Adamawa, Nigeria",9.90147,11.89213,Primary Health Center,Guyuk,State Primary Healthcare Development Agency,Guyuk,ADSGUY07,Functional,eHA Polio,
Sokoron Health Post,"Song, Adamawa, Nigeria",9.664916992,12.39532471,Dispensary,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Functional,eHA Polio,
Solaomom Dispensary,"Song, Adamawa, Nigeria",10.0008,12.39534,Dispensary,Gudu Mboi,State Primary Healthcare Development Agency,Song,ADSSNG03,Unknown,eHA Polio,
Suktu Saktte Health Center,,9.62695747,12.3944128,Primary Health Center,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Functional,eHA Polio,
Sukur Settlement Health Post,"Madagali, Adamawa, Nigeria",10.87842,13.60989,Dispensary,Bebel,State Primary Healthcare Development Agency,Madagali,ADSMDG01,Unknown,eHA Polio,
Sundi Health Post,"Demsa, Adamawa, Nigeria",9.62109375,12.18151855,Dispensary,Gwamba,State Primary Healthcare Development Agency,Demsa,ADSDSA07,Functional,eHA Polio,
Taksi Health Post,"A8, Toungo, Teungo, Adamawa, Nigeria",8.175292969,12.04211426,Dispensary,Toungo 3,State Primary Healthcare Development Agency,Toungo,ADSTNG10,Functional,eHA Polio,
Tambo Jimoh Health Post,"Girei, Adamawa, Nigeria",9.535888672,12.38372803,Dispensary,Tambo,State Primary Healthcare Development Agency,Girei,ADSGRE09,Functional,eHA Polio,Tambo Jimoh Dispensary
Tana Babba Primary Health Center,"A4, Mayo Lope, Numan, Adamawa, Nigeria",9.288696289,11.66290283,Primary Health Center,Kpasham,State Primary Healthcare Development Agency,Demsa,ADSDSA08,Functional,eHA Polio,Tana Health Center
Tantile Dispensary,"Jada, Adamawa, Nigeria",8.719909668,12.58612061,Dispensary,Koma 1,State Primary Healthcare Development Agency,Jada,ADSJAD04,Functional,eHA Polio,
Tappare Sardauna Health Post,"Ganye - Jimeta Federal Road, Jada, Adamawa, Nigeria",8.668884277,12.42687988,Dispensary,Leko,State Primary Healthcare Development Agency,Jada,ADSJAD06,Unknown,eHA Polio,
Tassala Health Post,"Demsa, Adamawa, Nigeria",9.500305176,12.14691162,Dispensary,Mbula,State Primary Healthcare Development Agency,Demsa,ADSDSA09,Functional,eHA Polio,
Tawa Health Post,"Tawa Health Post, Fufore, Adamawa, Nigeria",9.00172,12.40133,Dispensary,Yadim,State Primary Healthcare Development Agency,Fufore,ADSFUR11,Unknown,eHA Polio,
Timko Dispensary,"Ganye, Adamawa, Nigeria",8.55683,11.92495,Dispensary,Yebbi,State Primary Healthcare Development Agency,Ganye,ADSGAN10,Unknown,eHA Polio,
Timkoba Health Post,"Mbulo, Jada, Adamawa, Nigeria",8.673095703,12.03588867,Dispensary,Mbullo,State Primary Healthcare Development Agency,Jada,ADSJAD09,Unknown,eHA Polio,
Tinde Health Post,"Laro, Song, Adamawa, Nigeria",9.812283583,12.31732404,Dispensary,Dirma,State Primary Healthcare Development Agency,Song,ADSSNG01,Functional,eHA Polio,
Tingno Kogi Dispensary,"Tingno Kogi Dispensary, Straight point, Numan, Adamawa, Nigeria",9.506286621,11.73272705,Dispensary,Ngbakawo,State Primary Healthcare Development Agency,Lamurde,ADSLMR05,Unknown,eHA Polio,
Tola Jabu Clinic,"Tola Jabu, Mayo-Belwa, Adamawa, Nigeria",8.767089844,11.92687988,Primary Health Center,Tola,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA11,Functional,eHA Polio,Health Clinic Tolajabu
Tomsoro Health Post,,9.05267334,12.48248291,Dispensary,Uki Tuki,State Primary Healthcare Development Agency,Fufore,ADSFUR09,Functional,eHA Polio,
Toungo Primary Health Center,"Toungo, Teungo, Adamawa, Nigeria",8.11799,12.04648,Primary Health Center,Toungo 1,State Primary Healthcare Development Agency,Toungo,ADSTNG08,Functional,eHA Polio,
Tsohon Bali Health Post,"Demsa, Adamawa, Nigeria",9.293884277,11.80792236,Dispensary,Kpasham,State Primary Healthcare Development Agency,Demsa,ADSDSA08,Unknown,eHA Polio,
Tuhum Waziri Primary Health Center,"Madagali, Adamawa, Nigeria",10.73529053,13.53192139,Primary Health Center,Pallam,State Primary Healthcare Development Agency,Madagali,ADSMDG07,Functional,eHA Polio,
Vindejiri Health Post,"Mubi, Mubi North, Adamawa, Nigeria",10.23608398,13.14849854,Dispensary,Mugulbu,State Primary Healthcare Development Agency,Mubi South,ADSGYL07,Unknown,eHA Polio,Vindejire Health Post
Wactandi Health Post,"Purambe, Song, Adamawa, Nigeria",9.76979,12.28686,Dispensary,Waltandi,State Primary Healthcare Development Agency,Song,ADSSNG10,Unknown,eHA Polio,
Wadore Health Post,"Ganye, Jada, Adamawa, Nigeria",8.46606,12.16318,Dispensary,Jaggu,State Primary Healthcare Development Agency,Ganye,ADSGAN06,Unknown,eHA Polio,
Walu Dispensary and Clinic,"Guyuk, Adamawa, Nigeria",9.856872559,11.855896,Dispensary,Dukul,State Primary Healthcare Development Agency,Guyuk,ADSGUY05,Unknown,eHA Polio,
Wamtere Primary Health Center,"Gombi, Adamawa, Nigeria",10.21734,12.31868,Primary Health Center,Gabon,State Primary Healthcare Development Agency,Gombi,ADSGMB04,Functional,eHA Polio,
Wanuki Health Post,"Zuyel, Madagali, Adamawa, Nigeria",10.7844,13.48702,Dispensary,Gulak,State Primary Healthcare Development Agency,Madagali,ADSMDG03,Unknown,eHA Polio,
Wasilla Health Post,"Michika, Adamawa, Nigeria",10.53167725,13.32373047,Dispensary,Tsukumu / Tilijo,State Primary Healthcare Development Agency,Michika,ADSMCH12,Unknown,eHA Polio,
Watu Health Post,"A13, Jidil, Michika, Adamawa, Nigeria",10.60369873,13.36468506,Dispensary,Madzi,State Primary Healthcare Development Agency,Michika,ADSMCH05,Functional,eHA Polio,
Ngoda Goron Clinic,"Opalo, Larmurde, Adamawa, Nigeria",9.51495,11.77109,Private Non Profit,Ngbakawo,Others,Lamurde,ADSLMR05,Unknown,OSGOF,
Waurunelbi Basic Health Center,"Waurunelbi Basic Health Clinic, Fufore, Adamawa, Nigeria",9.052111604,12.86072033,Primary Health Center,Gurin,State Primary Healthcare Development Agency,Fufore,ADSFUR04,Functional,eHA Polio,
Wuro Bakumbo Health Post,"Wuro Bakumbo, Demsa, Adamawa, Nigeria",9.307495117,12.02508545,Dispensary,Nassarawo Demsa,State Primary Healthcare Development Agency,Demsa,ADSDSA10,Unknown,eHA Polio,
Wuro Gayadi Health Post,"wuro gayadi primary heath post, A13, Wuro Ngangandi, Michika, Adamawa, Nigeria",10.71289063,13.38909912,Dispensary,Kirchinga,State Primary Healthcare Development Agency,Madagali,ADSMDG05,Functional,eHA Polio,
Wuro Harde Health Post,"Yaza, Mubi North, Adamawa, Nigeria",10.29852295,13.26031494,Dispensary,Digil,State Primary Healthcare Development Agency,Mubi North,ADSMUB03,Unknown,eHA Polio,
Wuro Hausa Health Post,,9.53881,12.28415,Dispensary,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Unknown,eHA Polio,
Wuro Jatau Health Post,"Jada, Adamawa, Nigeria",8.8203125,12.70507813,Dispensary,Koma 2,State Primary Healthcare Development Agency,Jada,ADSJAD05,Unknown,eHA Polio,
Wuro Kae Health Post,"Hurda, Mubi North, Adamawa, Nigeria",10.35362,13.22326,Dispensary,Digil,State Primary Healthcare Development Agency,Mubi North,ADSMUB03,Unknown,eHA Polio,
Wuro Mallum Health Post,"Sorau - Mubi Road, Maiha, Adamawa, Nigeria",9.905090332,13.2230835,Dispensary,Sorau A,State Primary Healthcare Development Agency,Maiha,ADSMAH08,Functional,eHA Polio,
Wuro Munci Dispensary,"Wuro Munci Dispensary, Demsa, Adamawa, Nigeria",9.629272461,12.12109375,Dispensary,Gwamba,State Primary Healthcare Development Agency,Demsa,ADSDSA07,Unknown,eHA Polio,NO PHYSICAL LOCATION RECORDED
Wuro Patuji Health Post,"Mubi, Mubi North, Adamawa, Nigeria",10.2654,13.28757,Dispensary,Gude,State Primary Healthcare Development Agency,Mubi South,ADSGYL04,Unknown,eHA Polio,
Wuro Udayen Health Post,"Fufore, Adamawa, Nigeria",9.104919434,12.37652588,Dispensary,Bole Yolde Pate,State Primary Healthcare Development Agency,Yola South,ADSYLA03,Unknown,eHA Polio,
Wurogayandi Kuda Dispensary,"wuro gayandii, A13, Wuro Ngangandi, Michika, Adamawa, Nigeria",10.72991943,13.37890625,Dispensary,Kirchinga,State Primary Healthcare Development Agency,Madagali,ADSMDG05,Unknown,eHA Polio,
Wurongayandi Dispensary,"Shuwa, Madagali, Adamawa, Nigeria",10.76862,13.38562,Dispensary,Duhu,State Primary Healthcare Development Agency,Madagali,ADSMDG02,Unknown,eHA Polio,
Yadafa Health Post,,10.21163,13.19078,Dispensary,Mugulbu,State Primary Healthcare Development Agency,Mubi South,ADSGYL07,Unknown,eHA Polio,
Yadini Health Post,"Numan, Demsa, Adamawa, Nigeria",9.225524902,11.75231934,Dispensary,Kpasham,State Primary Healthcare Development Agency,Demsa,ADSDSA08,Unknown,eHA Polio,
Yandan Kareje Clinic,,9.072509766,11.89129639,Primary Health Center,Gengle,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA04,Functional,eHA Polio,Health Post
Yelon Health Post,"Yaza, Mubi North, Adamawa, Nigeria",10.29837,13.25274,Dispensary,Digil,State Primary Healthcare Development Agency,Mubi North,ADSMUB03,Unknown,eHA Polio,
Zekun Maternity Clinic,,9.9517,11.89627,Maternity Home,Bobini,State Primary Healthcare Development Agency,Guyuk,ADSGUY02,Functional,eHA Polio,
Zuran Ii Health Post,"Farei, Demsa, Adamawa, Nigeria",9.460876465,12.1005249,Dispensary,Dwam,State Primary Healthcare Development Agency,Demsa,ADSDSA06,Functional,eHA Polio,
Danaba Health Center,,8.58488,12.05429,Primary Health Center,Danaba,State Primary Healthcare Development Agency,Jada,ADSJAD01,Functional,eHA Polio,
Tola Primary Health Center,"Chikol, Mayo-Belwa, Adamawa, Nigeria",8.96669,11.96847,Primary Health Center,Mayo Farang,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA07,Functional,eHA Polio,
Dalasum Health Post,,8.039489746,12.00048828,Dispensary,Kiri 1,State Primary Healthcare Development Agency,Toungo,ADSTNG04,Unknown,eHA Polio,
Mbilla Health Post,,9.890686036,12.60852051,Dispensary,Song Gari,State Primary Healthcare Development Agency,Song,ADSSNG07,Unknown,eHA Polio,Mdiha Health Clinic
Shelleng Town Clinic,,9.89617,12.0076,Primary Health Center,Shelleng,State Primary Healthcare Development Agency,Shelleng,ADSSHG09,Functional,eHA Polio,
Yorrong Health Post,"Shelleng, Adamawa, Nigeria",9.84387207,12.08068848,Dispensary,Jumbul,State Primary Healthcare Development Agency,Shelleng,ADSSHG05,Unknown,eHA Polio,Yorronge Health Post
Sukur Sama Health Post,,10.74138,13.58466,Dispensary,Sukur,State Primary Healthcare Development Agency,Madagali,ADSMDG08,Unknown,eHA Polio,
Miza Primary Health Center,"Mizza, Mubi North, Adamawa, Nigeria",10.41976992,13.3931371,Primary Health Center,Mijilu,Others,Mubi North,ADSMUB07,Functional,eHA Polio,
Gamu Primary Health Care Center,,8.26479404,12.06765619,Primary Health Center,Gamu,Others,Ganye,ADSGAN02,Functional,eHA Polio,Gamu Health Clinic
Kalaa Maternity Clinic,"Bangshika Primary Health Care Center, A13, Hong, Adamawa, Nigeria",10.24935,13.01435,Maternity Home,Bangshika,State Primary Healthcare Development Agency,Hong,ADSHNG01,Functional,eHA Polio,
Konkol Maternity Clinic,,9.64934,13.10346,Maternity Home,Konkol,State Primary Healthcare Development Agency,Maiha,ADSMAH03,Unknown,eHA Polio,
Peace Hospital,,9.272888184,12.4442749,Primary Health Center,Luggere,Private,Yola North,ADSYLN08,Unknown,eHA Polio,
Mwam Nursing Home and Maternity,,9.65343,12.55706,Maternity Home,Song Waje,Private,Song,ADSSNG08,Unknown,eHA Polio,
Ngulire Cottage Hospital,"Sorau - Mubi Road, Paka, Maiha, Adamawa, Nigeria",10.06549072,13.18969727,Cottage Hospital,Mayo Nguli,State Primary Healthcare Development Agency,Maiha,ADSMAH06,Unknown,eHA Polio,Mayo Nguli Maternity
Njairi Health Post,,10.27893,13.21949,Dispensary,Mayo Lope,State Primary Healthcare Development Agency,Hong,ADSHNG09,Unknown,eHA Polio,
Pilo Tara Health Post,"Numan, Adamawa, Nigeria",9.47088623,12.02972412,Dispensary,Sabon Pegi,State Ministry of Health,Numan,ADSNUM09,Functional,eHA Polio,
